final_logins_m_1,final_logins_m_2,final_logins_m_3,final_kudos_t_m_1,final_kudos_t_m_2,final_kudos_t_m_3,final_kudos_f_m_1,final_kudos_f_m_2,final_kudos_f_m_3,final_kpi_m_1,final_kpi_m_2,final_kpi_m_3,final_lrn_m_1,final_lrn_m_2,final_lrn_m_3,final_lrn_t_m_1,final_lrn_t_m_2,final_lrn_t_m_3,target,Trend_logins_1,Trend_logins_2,Trend_kudos_t_m_1,Trend_kudos_t_m_2,Trend_kudos_f_m_1,Trend_kudos_f_m_2,Trend_kpi_m_1,Trend_kpi_m_2,Trend_lrn_m_1,Trend_lrn_m_2,Trend_lrn_t_m_1,Trend_lrn_t_m_2
0.24838411819021236,0.08680057388809183,0.11938098747236552,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3125,0.26666666666666666,0.17204301075268819,0.32777,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,-0.16158354430212052,0.03258041358427369,-0.1111111111111111,0.0,0.0,0.0,-0.04583333333333334,-0.09462365591397848,-0.32777,0.0,-0.2777777777777778,0.0
0.6380424746075716,0.33285509325681495,0.09801031687546058,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.17333333333333334,0.13978494623655915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3051873813507566,-0.23484477638135437,0.0,0.0,0.0,0.0,-0.051666666666666666,-0.033548387096774185,0.0,0.0,0.0,0.0
0.09418282548476453,0.08249641319942612,0.14296241709653648,0.0,0.0,0.0,0.0,0.0,0.0,0.36250000000000004,0.4266666666666667,0.3118279569892473,0.0,0.0,0.21175999999999998,0.0,0.0,0.21985815602836878,0.0,-0.011686412285338413,0.06046600389711036,0.0,0.0,0.0,0.0,0.06416666666666665,-0.11483870967741938,0.0,0.21175999999999998,0.0,0.21985815602836878
0.6094182825484764,0.5093256814921091,0.3898305084745763,0.0,0.0,0.0,0.0,0.0,0.05,0.4375,0.49333333333333335,0.37634408602150543,0.3,0.10833000000000001,0.30625,0.24444444444444446,0.1702127659574468,0.1773049645390071,0.0,-0.1000926010563673,-0.11949517301753282,0.0,0.0,0.0,0.05,0.055833333333333346,-0.11698924731182792,-0.19166999999999998,0.19792,-0.07423167848699766,0.007092198581560294
0.20036934441366575,0.12625538020086083,0.18349299926308033,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.29333333333333333,0.34408602150537637,0.20833,0.0,0.08333,0.1,0.0,0.028368794326241134,0.0,-0.07411396421280492,0.0572376190622195,0.0,0.0,0.0,0.0,-0.08166666666666667,0.05075268817204304,-0.20833,0.08333,-0.1,0.028368794326241134
0.13850415512465375,0.06958393113342899,0.16138540899042006,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.21333333333333335,0.2688172043010753,0.0,0.0,0.23125,0.0,0.0,0.09929078014184398,0.0,-0.06892022399122476,0.09180147785699107,0.0,0.0,0.0,0.0,-0.0866666666666667,0.05548387096774196,0.0,0.23125,0.0,0.09929078014184398
0.11357340720221605,0.08895265423242468,0.0707442888725129,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3866666666666667,0.19354838709677422,0.32,0.28750000000000003,0.27,0.13333333333333333,0.1276595744680851,0.14893617021276595,0.0,-0.024620752969791368,-0.018208365359911785,0.0,0.0,0.0,0.0,0.13666666666666671,-0.1931182795698925,-0.03249999999999997,-0.017500000000000016,-0.005673758865248235,0.021276595744680854
0.18559556786703602,0.10258249641319943,0.08769344141488578,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.44,0.2795698924731183,0.55,0.0,0.31666,0.4666666666666667,0.0,0.3475177304964539,0.0,-0.08301307145383659,-0.014889054998313653,0.0,0.0,0.0,0.0,0.1775,-0.1604301075268817,-0.55,0.31666,-0.4666666666666667,0.3475177304964539
0.13111726685133887,0.08751793400286945,0.058953574060427415,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.45,0.45333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043599332848469424,-0.02856435994244203,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.003333333333333355,-0.12,0.0,0.0,0.0,0.0
0.22530009233610343,0.11190817790530846,0.11938098747236552,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.13333333333333333,0.17204301075268819,0.13333,0.25,0.25,0.14444444444444446,0.02127659574468085,0.028368794326241134,0.0,-0.11339191443079497,0.007472809567057051,0.0,0.0,0.0,0.0,-0.11666666666666667,0.038709677419354854,0.11667,0.0,-0.1231678486997636,0.0070921985815602835
