final_logins_m_1,final_logins_m_2,final_logins_m_3,final_kudos_t_m_1,final_kudos_t_m_2,final_kudos_t_m_3,final_kudos_f_m_1,final_kudos_f_m_2,final_kudos_f_m_3,final_kpi_m_1,final_kpi_m_2,final_kpi_m_3,final_lrn_m_1,final_lrn_m_2,final_lrn_m_3,final_lrn_t_m_1,final_lrn_t_m_2,final_lrn_t_m_3,target
0.26731980405878236,0.24079528718703977,0.45503597122302153,0.0,0.0,0.0,0.0,0.0,0.0,0.43137254901960786,0.39215686274509803,0.5283018867924528,0.0,0.0,0.734375,0.0,0.0,0.8253968253968254,0.0
0.26731980405878236,0.18630338733431517,0.20083932853717024,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.43137254901960786,0.37254901960784315,0.49056603773584906,0.0,0.0,0.6041500000000001,0.0,0.0,0.6666666666666666,0.0
0.059482155353393976,0.06406480117820323,0.039568345323741004,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.37254901960784315,0.39215686274509803,0.32075471698113206,0.0,0.0,0.5694250000000001,0.0,0.0,0.7936507936507936,0.0
0.007697690692792162,0.022827687776141383,0.011390887290167864,0.0,0.0625,0.0,0.0,0.0,0.0,0.7647058823529411,0.7450980392156863,0.7547169811320754,0.0,0.2962888888888889,0.0,0.0,0.06382978723404255,0.015873015873015872,0.0
0.0,0.1480117820324006,0.06834532374100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27450980392156865,0.22641509433962265,0.0,0.1827888888888889,0.25,0.0,0.8936170212765957,0.031746031746031744,0.0
0.5024492652204339,0.14727540500736377,0.14028776978417265,0.08333333333333333,0.0625,0.0,0.0,0.0,0.0,0.5686274509803921,0.1764705882352941,0.2830188679245283,0.35714285714285715,0.0,0.470575,0.02127659574468085,0.0,0.8095238095238095,0.0
0.15395381385584322,0.21354933726067746,0.3519184652278177,0.0,0.0,0.0,0.0,0.0,0.0,0.49019607843137253,0.49019607843137253,0.5660377358490566,0.35714285714285715,0.3888888888888889,0.588225,0.010638297872340425,0.035460992907801414,0.8095238095238095,0.0
0.0,0.03460972017673049,0.1396882494004796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.49056603773584906,0.0,0.2592555555555556,0.375,0.0,0.10638297872340426,0.15873015873015872,0.0
0.10636808957312806,0.19366715758468336,0.1528776978417266,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.49019607843137253,0.7450980392156863,0.6981132075471698,0.37142857142857144,0.18888888888888888,0.25,0.0851063829787234,0.06382978723404255,0.015873015873015872,0.0
0.46116165150454863,0.3365243004418262,0.15707434052757793,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.37254901960784315,0.3962264150943396,0.4107142857142857,0.33333333333333337,0.08332500000000001,0.0851063829787234,0.23404255319148937,0.07936507936507936,0.0
0.10776766969909027,0.10235640648011782,0.08453237410071941,0.0,0.0,0.0,0.0,0.0,0.0,0.6078431372549019,0.5098039215686274,0.660377358490566,0.17142857142857143,0.0,0.375,0.1276595744680851,0.0,0.031746031746031744,0.0
0.06508047585724282,0.022091310751104563,0.009592326139088728,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.5098039215686274,0.3529411764705882,0.22641509433962265,0.35714285714285715,0.0,0.0,0.0425531914893617,0.0,0.0,0.0
0.09517144856543036,0.20913107511045656,0.08093525179856115,0.0,0.0,0.0,0.0,0.0,0.0,0.45098039215686275,0.7058823529411764,0.5849056603773585,0.35714285714285715,0.0,0.75,0.0851063829787234,0.0,0.9365079365079365,0.0
0.1511546536039188,0.20029455081001474,0.17026378896882494,0.0,0.0,0.0,0.0,0.0,0.0,0.7843137254901961,0.6862745098039216,0.7547169811320754,0.35714285714285715,0.32715555555555553,0.46875,0.02127659574468085,0.1773049645390071,0.1111111111111111,0.0
0.03358992302309307,0.042709867452135494,0.04676258992805755,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.37254901960784315,0.22641509433962265,0.35714285714285715,0.08333333333333334,0.3125,0.02127659574468085,0.02127659574468085,0.12698412698412698,0.0
0.05318404478656403,0.0743740795287187,0.11750599520383692,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.49019607843137253,0.3773584905660377,0.0,0.0,0.76315,0.0,0.0,0.4444444444444444,0.0
0.03918824352694192,0.08394698085419734,0.16846522781774578,0.0,0.0,0.0,0.0,0.0,0.0,0.39215686274509803,0.6078431372549019,0.6415094339622641,0.0,0.1388888888888889,0.42105,0.0,0.02127659574468085,0.5873015873015872,0.0
0.12806158152554234,0.04639175257731959,0.047362110311750596,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.20754716981132074,0.35714285714285715,0.0,0.5,0.02127659574468085,0.0,0.07936507936507936,0.0
0.1007697690692792,0.13770250368188514,0.12410071942446042,0.3333333333333333,0.0,0.0,0.15000000000000002,0.0,0.0,0.47058823529411764,0.7058823529411764,0.5849056603773585,0.17345714285714284,0.35555555555555557,0.27082500000000004,0.11702127659574468,0.04964539007092199,0.12698412698412698,0.0
0.10496850944716585,0.06995581737849779,0.13908872901678657,0.0,0.0625,0.0,0.0,0.0,0.0,0.47058823529411764,0.5294117647058824,0.5283018867924528,0.0,0.0,0.578125,0.0,0.0,0.8095238095238095,0.0
