final_logins_m_1,final_logins_m_2,final_logins_m_3,final_kudos_t_m_1,final_kudos_t_m_2,final_kudos_t_m_3,final_kudos_f_m_1,final_kudos_f_m_2,final_kudos_f_m_3,final_kpi_m_1,final_kpi_m_2,final_kpi_m_3,final_lrn_m_1,final_lrn_m_2,final_lrn_m_3,final_lrn_t_m_1,final_lrn_t_m_2,final_lrn_t_m_3,target
0.24838411819021236,0.08680057388809183,0.11938098747236552,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3125,0.26666666666666666,0.17204301075268819,0.32777,0.0,0.0,0.2777777777777778,0.0,0.0,0.0
0.6380424746075716,0.33285509325681495,0.09801031687546058,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.17333333333333334,0.13978494623655915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09418282548476453,0.08249641319942612,0.14296241709653648,0.0,0.0,0.0,0.0,0.0,0.0,0.36250000000000004,0.4266666666666667,0.3118279569892473,0.0,0.0,0.21175999999999998,0.0,0.0,0.21985815602836878,0.0
0.6094182825484764,0.5093256814921091,0.3898305084745763,0.0,0.0,0.0,0.0,0.0,0.05,0.4375,0.49333333333333335,0.37634408602150543,0.3,0.10833000000000001,0.30625,0.24444444444444446,0.1702127659574468,0.1773049645390071,0.0
0.20036934441366575,0.12625538020086083,0.18349299926308033,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.29333333333333333,0.34408602150537637,0.20833,0.0,0.08333,0.1,0.0,0.028368794326241134,0.0
0.13850415512465375,0.06958393113342899,0.16138540899042006,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.21333333333333335,0.2688172043010753,0.0,0.0,0.23125,0.0,0.0,0.09929078014184398,0.0
0.11357340720221605,0.08895265423242468,0.0707442888725129,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3866666666666667,0.19354838709677422,0.32,0.28750000000000003,0.27,0.13333333333333333,0.1276595744680851,0.14893617021276595,0.0
0.18559556786703602,0.10258249641319943,0.08769344141488578,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.44,0.2795698924731183,0.55,0.0,0.31666,0.4666666666666667,0.0,0.3475177304964539,0.0
0.13111726685133887,0.08751793400286945,0.058953574060427415,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.45,0.45333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22530009233610343,0.11190817790530846,0.11938098747236552,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.13333333333333333,0.17204301075268819,0.13333,0.25,0.25,0.14444444444444446,0.02127659574468085,0.028368794326241134,0.0
0.20313942751615882,0.16355810616929697,0.14959469417833457,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.21250000000000002,0.24000000000000002,0.07526881720430108,0.24614999999999998,0.0,0.0,0.3888888888888889,0.0,0.0,0.0
0.11634349030470913,0.09899569583931134,0.07221812822402358,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.48000000000000004,0.2903225806451613,0.25,0.0,0.275,0.2777777777777778,0.0,0.05673758865248227,0.0
0.1809787626962142,0.07819225251076041,0.07148120854826824,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.28750000000000003,0.26666666666666666,0.20430107526881722,0.29166000000000003,0.0,0.25,0.06666666666666667,0.0,0.0425531914893617,0.0
0.08956602031394274,0.08608321377331421,0.08621960206337509,0.0,0.0,0.0,0.0,0.0,0.05,0.15000000000000002,0.28,0.3548387096774194,0.4,0.16666,0.0,0.03333333333333333,0.05319148936170213,0.0,0.0
0.12742382271468145,0.08321377331420374,0.07000736919675755,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3866666666666667,0.25806451612903225,0.15,0.25,0.2125,0.08888888888888889,0.07446808510638298,0.05673758865248227,0.0
0.24192059095106186,0.0896700143472023,0.19233603537214444,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.21333333333333335,0.23655913978494625,0.13625,0.2,0.24166,0.2111111111111111,0.10638297872340426,0.12056737588652482,0.0
0.1015697137580794,0.07030129124820661,0.1584377302873987,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.22666666666666668,0.24731182795698928,0.0,0.21875,0.225,0.044444444444444446,0.23404255319148937,0.1773049645390071,0.0
0.31763619575253926,0.40100430416068866,0.15401621223286663,0.0,0.0,0.0,0.0,0.0,0.0,0.17500000000000002,0.29333333333333333,0.10752688172043012,0.075,0.3875,0.15,0.022222222222222223,0.32978723404255317,0.06382978723404255,0.0
0.11542012927054478,0.12338593974175037,0.10243183492999264,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.25333333333333335,0.21505376344086025,0.15,0.26,0.3,0.03333333333333333,0.06382978723404255,0.0070921985815602835,0.0
0.04524469067405355,0.016499282639885225,0.08769344141488578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17204301075268819,0.0,0.0,0.21666000000000002,0.0,0.0,0.035460992907801414,0.0
0.09879963065558632,0.0975609756097561,0.04421518054532056,0.0,0.0,0.0,0.0,0.0,0.0,0.28750000000000003,0.32,0.20430107526881722,0.0,0.19285,0.33333,0.0,0.1276595744680851,0.0425531914893617,0.0
0.27331486611265005,0.23672883787661406,0.28371407516580693,0.0,0.0,0.0,0.0,0.0,0.0,0.17500000000000002,0.17333333333333334,0.24731182795698928,0.3625,0.125,0.0,0.15555555555555556,0.02127659574468085,0.0,0.0
