userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
24936,,,5,39,6,3,88,,,,,,,,,,,,,,,,,24936,,,0,8,8,10,19,24936,,,,,,,0.000,24936,,,,,,,2
12580,69,26,34,21,13,7,,,,,,,,,,,,,,,,,,12580,20,13,6,4,2,0,0,12580,,,,100.000,,,,12580,,,,1,,,
21199,273,229,326,109,181,167,208,,,,,,,,,21199,,,,,2,,,21199,19,13,22,5,16,13,25,21199,25.000,,,,,,,21199,2,,,,,,
19514,414,151,217,203,248,320,345,,,,,,,,,,,,,,,,,19514,22,3,12,9,10,16,15,19514,,,200.000,,150.000,,,19514,,,1,,1,,
6717,183,256,228,248,227,191,248,,,,,,,,,,,,,,,,,6717,21,28,19,17,7,13,26,6717,,,,33.333,0.000,,0.000,6717,,,,3,2,,1
9754,,,,,,38,27,,,,,,,,,,,,,,,,,9754,0,6,1,13,15,17,11,9754,,,,,,0.000,,9754,,,,,,1,
24259,,,,,120,507,658,24259,,,,,,2,,,,,,,,,,24259,,0,6,1,15,24,30,24259,,,,,12.500,,,24259,,,,,3,,
10160,54,31,39,40,12,5,14,,,,,,,,,,,,,,,,,10160,10,19,24,25,14,18,26,10160,,25.000,,,,,,10160,,1,,,,,
21915,50,41,28,3,,,,,,,,,,,,,,,,,,,,21915,3,5,6,0,0,0,0,21915,,20.000,,,,,,21915,,4,,,,,
24328,,71,71,6,,,,,,,,,,,,,,,,,,,,24328,,0,7,0,0,0,,24328,,21.666,15.000,,,,,24328,,6,2,,,,
