userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
23879,,186,254,270,122,163,295,23879,,,1,1,,,,,,,,,,,,23879,8,24,20,25,20,16,27,23879,,,21.666,32.777,,,30.294,23879,,,7,25,,,41
20709,140,210,622,692,465,134,360,20709,,,1,,,,,,,,,,,,,20709,20,18,28,18,13,13,24,20709,0.000,,,,,,,20709,3,,,,,,
23344,137,85,119,88,60,8,,23344,1,,1,,,,,,,,,,,,,23344,37,33,36,35,27,12,0,23344,,25.000,,,25.000,,,23344,,2,,,2,,
12975,75,79,105,103,116,195,184,12975,,,,,,,1,,,,,,,,,12975,31,35,29,29,32,29,33,12975,22.000,,,,,21.176,,12975,3,,,,,31,
23933,128,158,38,48,91,57,187,,,,,,,,,,,,,,,,,23933,11,14,9,7,14,10,17,23933,12.500,40.000,,,,,31.666,23933,6,36,,,,,59
22518,284,254,272,254,233,288,227,,,,,,,,,,,,,,,,,22518,25,25,25,25,29,28,31,22518,25.000,,,32.777,,,22.941,22518,2,,,65,,,43
24394,,15,71,,,,,,,,,,,,,,,,,,,,,24394,,12,2,0,0,0,,24394,,,5.714,,,,,24394,,,33,,,,
24241,,54,491,661,711,530,576,,,,,,,,,24241,,,,,,1,1,24241,,0,34,35,37,35,37,24241,,20.000,15.000,30.000,10.833,30.625,25.000,24241,,9,2,22,16,25,37
6966,226,120,136,218,177,250,276,,,,,,,,,,,,,,,,,6966,36,15,23,30,22,32,29,6966,16.666,,,20.833,,8.333,17.307,6966,4,,,9,,4,41
19587,265,98,61,206,133,81,8,,,,,,,,,,,,,,,,,19587,28,16,21,19,23,10,2,19587,,,,31.500,,,,19587,,,,85,,,
14737,421,156,201,151,98,220,138,,,,,,,,,,,,,,,,,14737,36,25,25,24,16,25,19,14737,25.000,25.000,26.666,,,23.125,13.750,14737,2,3,23,,,14,9
9889,114,259,117,124,125,97,101,,,,,,,,,,,,,,,,,9889,23,29,25,20,29,18,27,9889,,33.125,18.333,32.000,28.750,27.000,15.000,9889,,97,8,12,12,21,8
11385,130,152,137,202,144,120,101,,,,,,,,,11385,1,,,,,,,11385,26,35,27,21,33,26,29,11385,25.000,25.000,16.250,55.000,,31.666,,11385,5,2,9,42,,49,
10139,155,91,145,143,123,81,147,10139,1,,,,1,,,,,,,,,,,10139,38,31,36,36,34,31,33,10139,,0.000,,,,,,10139,,3,,,,,
11162,262,241,259,403,419,123,311,11162,,1,,2,,,,,,,,,,,,11162,37,45,45,41,38,34,44,11162,,21.000,8.333,25.500,32.500,23.333,15.000,11162,,7,5,65,52,5,9
15485,245,388,472,245,157,163,122,15485,,1,,,,,,,,,,,,,,15485,25,33,33,20,10,16,27,15485,25.000,20.000,16.250,13.333,25.000,25.000,26.875,15485,1,8,5,13,2,4,8
18809,265,383,409,396,470,121,439,18809,,1,2,,,,3,,,,,,,,,18809,26,34,31,25,28,17,34,18809,0.000,,0.000,24.583,,,25.277,18809,3,,1,64,,,72
21925,180,221,164,221,229,204,320,21925,2,2,1,1,,,,,,,,,,,,21925,20,19,17,17,18,7,17,21925,8.800,,,24.615,,,27.187,21925,6,,,35,,,47
21556,73,51,125,127,139,99,119,,,,,,,,,21556,,1,,,,,,21556,26,27,33,22,36,27,37,21556,,,,25.000,,27.500,,21556,,,,25,,8,
22487,187,111,128,162,22,101,79,,,,,,,,,,,,,,,,,22487,29,23,27,24,13,25,12,22487,,,,23.888,,,26.785,22487,,,,59,,,58
20568,160,92,142,197,110,98,156,,,,,,,,,20568,1,,,2,,,,20568,22,17,27,23,20,19,22,20568,25.000,25.000,20.000,29.166,,25.000,28.076,20568,2,5,4,6,,6,47
6433,682,495,499,399,323,,,,,,,,,,,,,,,,,,,6433,21,19,25,14,13,0,0,6433,25.000,,17.142,48.333,,,,6433,4,,47,5,,,
7265,143,165,151,98,121,118,145,,,,,,,,,7265,,,,,,1,,7265,31,28,18,12,21,33,31,7265,18.000,21.666,17.500,40.000,16.666,,10.000,7265,1,13,3,3,5,,1
21966,133,93,86,123,65,64,92,21966,,,1,,,,,,,,,,,,,21966,21,21,21,26,14,18,15,21966,,,,20.294,,,6.666,21966,,,,51,,,4
22527,431,325,229,306,306,312,474,22527,1,,2,2,2,,,22527,,,3,1,,,1,22527,33,29,29,29,32,30,31,22527,0.000,,,13.846,,,27.307,22527,3,,,52,,,35
6249,112,109,99,139,117,96,90,6249,,1,,,,,,,,,,,,,,6249,29,30,25,20,29,24,25,6249,,32.500,21.666,15.000,25.000,21.250,30.000,6249,,12,5,8,7,8,5
22300,337,279,171,263,126,262,464,22300,1,,1,,,,1,,,,,,,,,22300,24,22,20,21,16,22,26,22300,7.000,11.333,20.000,13.625,20.000,24.166,22.500,22300,12,18,16,19,10,17,37
22573,231,183,163,111,99,216,373,22573,,,,,,,1,,,,,,,,,22573,21,11,29,22,17,23,31,22573,0.000,23.125,20.000,0.000,21.875,22.500,31.428,22573,3,77,2,4,22,25,28
24985,,,4,345,560,210,233,,,,,,,,,,,,,,,,,24985,,,0,14,22,10,12,24985,,,,7.500,38.750,15.000,,24985,,,,2,31,9,
14571,89,212,206,126,173,140,212,14571,,,2,,,,1,14571,,3,,,,,,14571,12,16,15,13,19,20,23,14571,25.000,33.125,20.000,15.000,26.000,30.000,26.428,14571,1,47,2,3,6,1,10
12139,107,68,49,50,24,120,165,12139,1,,1,,,,,,,,,,,,,12139,19,19,17,0,0,16,20,12139,,,,,,21.666,18.333,12139,,,,,,5,18
15686,104,194,217,108,137,61,172,15686,,,,,,,1,15686,1,,,,,,,15686,30,30,36,23,24,19,36,15686,0.000,26.428,20.000,,19.285,33.333,27.857,15686,2,73,4,,12,6,15
23051,289,361,307,297,331,386,401,,,,,,,,,,,,,,,,,23051,7,18,22,14,13,23,27,23051,,0.000,15.000,36.250,12.500,,20.833,23051,,2,1,14,2,,17
16313,103,66,133,192,281,245,225,,,,,,,,,,,,,,,,,16313,20,21,13,10,22,22,18,16313,18.500,,,27.222,0.000,,26.470,16313,3,,,41,9,,58
22474,926,479,993,774,580,620,1089,,,,,,,,,,,,,,,,,22474,42,33,34,36,41,35,44,22474,0.000,,40.000,0.000,,,21.500,22474,6,,49,3,,,36
26150,,,,,,76,1047,26150,,,,,,1,2,26150,,,,,,2,,26150,,,,,,0,21,26150,,,,,,31.666,10.714,26150,,,,,,8,8
6815,147,64,71,39,108,164,312,,,,,,,,,,,,,,,,,6815,27,21,12,15,21,21,25,6815,12.500,,,23.333,,,30.000,6815,3,,,3,,,71
10259,433,274,193,58,,,,,,,,,,,,10259,,1,,,,,,10259,25,23,29,21,0,0,0,10259,25.000,18.000,,30.000,,,,10259,4,9,,1,,,
20504,281,394,386,441,335,230,440,20504,,,,,,,1,20504,,1,,,,,,20504,16,22,23,28,19,20,21,20504,0.000,,,55.000,,,34.000,20504,1,,,4,,,10
9554,327,266,99,199,293,252,295,9554,,2,,,,,,9554,2,,,5,10,5,3,9554,36,34,24,30,29,35,34,9554,25.000,33.125,20.000,23.000,28.750,30.625,25.000,9554,7,31,5,9,11,25,5
23843,172,271,307,261,142,255,295,23843,,,,1,,,,,,,,,,,,23843,24,29,31,26,23,24,25,23843,25.000,,,16.500,,,20.312,23843,4,,,43,,,27
22979,390,367,630,298,290,243,444,22979,,,5,,,,,22979,,,6,4,1,,,22979,18,15,28,24,37,24,31,22979,,22.857,20.000,31.250,,35.000,20.000,22979,,24,4,10,,5,32
24368,,20,240,222,154,170,219,,,,,,,,,,,,,,,,,24368,,0,31,21,23,26,10,24368,,20.000,15.000,22.500,,,17.500,24368,,5,1,5,,,61
12549,125,242,107,120,92,153,115,,,,,,,,,,,,,,,,,12549,16,27,16,16,18,10,20,12549,25.000,16.666,,30.000,,19.000,25.000,12549,2,35,,6,,8,4
24046,,451,658,459,277,828,965,24046,,,,1,,1,2,,,,,,,,,24046,0,24,32,21,17,39,50,24046,,6.666,,30.833,25.833,29.285,16.666,24046,,27,,81,12,13,13
20543,47,429,325,576,639,599,723,20543,,1,,,,,,20543,,1,,,,,,20543,0,43,43,46,45,46,47,20543,25.000,,,27.083,,,29.000,20543,4,,,51,,,69
14414,43,29,24,130,154,224,344,14414,,,,,,,3,14414,,,,,,1,,14414,26,24,21,21,29,34,40,14414,,,,35.416,25.000,,26.333,14414,,,,111,2,,30
11479,318,383,280,276,377,314,670,,,,,,,,,,,,,,,,,11479,31,30,30,20,30,19,34,11479,25.000,,,62.500,25.000,,23.571,11479,1,,,3,3,,29
23276,85,151,68,48,55,12,12,,,,,,,,,,,,,,,,,23276,16,21,13,14,15,7,8,23276,,21.000,25.000,15.000,25.000,20.000,15.000,23276,,14,1,8,7,3,5
25481,,,,3,185,146,407,25481,,,,,,2,,,,,,,,,,25481,,,,13,38,40,37,25481,,,,,21.666,,25.312,25481,,,,,4,,40
21601,118,71,53,83,218,153,303,21601,,,1,,4,,,,,,,,,,,21601,37,35,41,44,49,46,48,21601,25.000,,,42.500,26.875,,17.666,21601,8,,,14,35,,65
23853,67,122,,,,,,,,,,,,,,,,,,,,,,23853,2,5,0,0,,,,23853,,0.000,,,,,,23853,,14,,,,,
16558,31,75,60,145,85,49,113,,,,,,,,,16558,,,1,1,,,2,16558,24,34,29,42,31,34,43,16558,,,,25.666,,,21.785,16558,,,,38,,,22
21323,49,33,50,44,58,,144,,,,,,,,,,,,,,,,,21323,20,21,19,18,21,16,23,21323,25.000,,,20.000,24.166,,21.250,21323,2,,,5,27,,89
16599,383,380,510,321,565,319,372,16599,,1,,,,,,,,,,,,,,16599,25,20,26,22,23,13,20,16599,,0.000,,30.000,25.000,8.000,5.000,16599,,1,,2,1,8,2
25390,,,,10,156,41,110,,,,,,,,,,,,,,,,,25390,,,,0,25,24,24,25390,,,,,16.363,21.666,13.333,25390,,,,,24,5,18
18318,66,33,29,89,96,216,78,18318,,,,,,1,,18318,,,,,3,,,18318,22,19,20,23,23,21,13,18318,,25.000,,26.666,25.000,37.000,15.000,18318,,2,,23,5,54,8
18355,152,103,62,126,116,153,144,,,,,,,,,,,,,,,,,18355,4,2,1,3,5,6,10,18355,25.000,,0.000,15.000,,,,18355,1,,1,1,,,
17174,217,297,187,201,236,231,229,,,,,,,,,,,,,,,,,17174,37,32,29,24,29,25,36,17174,25.000,37.500,15.000,17.500,,26.666,12.500,17174,4,117,2,27,,31,42
23573,246,232,180,113,37,138,243,23573,,,,,,,1,,,,,,,,,23573,18,19,31,24,14,22,28,23573,16.666,17.142,25.000,25.000,,30.000,5.833,23573,5,16,2,4,,7,7
19469,188,292,186,405,275,153,184,,,,,,,,,,,,,,,,,19469,15,20,14,21,23,11,11,19469,25.000,29.000,,7.500,,,,19469,2,10,,5,,,
21618,22,22,24,70,30,15,23,,,,,,,,,,,,,,,,,21618,12,9,12,11,8,10,12,21618,,,,25.454,,,20.000,21618,,,,34,,,2
16391,22,37,35,100,29,28,142,16391,,,,,,,1,16391,,,1,4,,,,16391,30,32,26,34,30,32,38,16391,,12.500,,19.375,,,25.000,16391,,7,,27,,,33
9180,305,313,461,572,566,360,1615,9180,,,2,1,,,1,9180,,,,5,,,,9180,23,29,39,31,39,20,40,9180,,,13.333,32.857,,24.583,,9180,,,8,54,,21,
22322,363,233,141,384,430,244,168,,,,,,,,,,,,,,,,,22322,24,19,18,24,33,17,19,22322,,,,50.000,,,40.000,22322,,,,84,,,26
12812,44,63,81,94,187,23,,,,,,,,,,,,,,,,,,12812,21,21,21,21,24,6,0,12812,,,,,30.454,,,12812,,,,,73,,
17540,124,452,312,106,442,146,177,,,,,,,,,,,,,,,,,17540,6,21,18,8,20,11,18,17540,,18.000,15.000,27.500,16.000,21.250,18.000,17540,,38,1,4,9,9,24
12084,92,104,63,56,127,204,386,12084,3,,,,,1,,,,,,,,,,12084,22,21,20,20,24,23,28,12084,,,20.000,22.500,25.000,10.000,30.000,12084,,,8,4,5,3,79
15637,454,204,273,376,221,293,270,15637,2,4,1,1,2,7,2,15637,15,15,12,6,11,15,9,15637,38,44,33,42,32,46,37,15637,,0.000,21.666,27.500,,,30.357,15637,,2,3,91,,,37
21294,577,719,433,199,111,281,367,21294,,7,2,1,,,,21294,,3,1,1,,,1,21294,30,49,47,27,22,32,34,21294,,16.250,20.000,22.000,25.000,22.857,24.000,21294,,7,6,12,2,17,42
20752,138,110,309,160,100,102,150,20752,,,,1,,1,,,,,,,,,,20752,22,14,28,17,17,17,24,20752,25.000,,31.875,34.000,26.250,20.000,26.111,20752,2,,49,10,11,2,24
14766,41,293,214,278,243,126,177,,,,,,,,,,,,,,,,,14766,2,24,11,21,23,9,24,14766,25.000,21.666,25.000,32.000,25.000,20.000,18.750,14766,2,7,3,7,5,3,7
19192,255,217,351,405,218,320,637,19192,,1,1,3,,,2,19192,3,,2,,,4,3,19192,19,20,25,25,23,31,40,19192,,,34.285,23.333,25.000,22.500,19.000,19192,,,26,7,2,7,11
17308,226,358,288,219,322,346,157,17308,1,,2,,,1,1,,,,,,,,,17308,33,31,35,22,16,28,20,17308,25.000,30.833,21.666,20.000,21.000,25.000,14.285,17308,2,56,8,11,16,9,13
22364,147,164,244,210,370,417,446,,,,,,,,,,,,,,,,,22364,13,14,20,17,18,24,27,22364,25.000,25.000,13.333,36.250,25.000,40.000,0.000,22364,4,2,25,6,60,2,1
15277,325,662,318,187,283,169,187,,,,,,,,,15277,4,,2,,,,,15277,23,26,24,19,22,20,20,15277,12.500,33.125,,,,,26.944,15277,3,42,,,,,52
6197,129,166,110,211,249,384,376,6197,,1,,5,1,1,3,6197,4,5,7,13,4,,1,6197,27,27,28,40,38,23,36,6197,0.000,5.000,15.000,37.000,24.375,31.666,,6197,6,6,1,9,38,6,
24472,,,400,716,457,293,379,24472,,,1,,,,1,24472,,,1,,,,1,24472,,0,10,17,23,18,20,24472,,,,,,,38.888,24472,,,,,,,74
25426,,,,35,164,269,147,25426,,,,,4,1,,,,,,,,,,25426,,,,12,16,29,15,25426,,,,,,30.000,10.000,25426,,,,,,2,1
6507,30,36,53,45,110,193,97,,,,,,,,,,,,,,,,,6507,20,17,14,11,16,25,19,6507,25.000,,13.333,30.000,,17.083,20.714,6507,3,,5,9,,30,36
22482,9,8,39,73,310,,,,,,,,,,,,,,,,,,,22482,7,8,14,6,19,4,0,22482,25.000,,,29.000,28.750,,,22482,3,,,8,23,,
24154,,21,81,119,281,231,285,,,,,,,,,24154,,,,,,2,,24154,,1,10,20,22,26,31,24154,,,31.666,100.000,25.000,,30.000,24154,,,12,1,3,,62
8037,218,303,226,364,370,286,363,8037,1,,1,,,,,8037,,7,,5,6,6,1,8037,37,37,32,33,38,31,25,8037,25.000,22.500,40.000,33.333,25.000,30.000,28.076,8037,2,10,1,11,1,6,53
23976,14,458,485,310,421,415,215,23976,,,1,,,,,23976,,,1,,,,,23976,1,19,20,19,22,22,20,23976,,11.111,12.500,32.000,28.750,29.285,2.500,23976,,67,5,10,9,14,12
13856,178,377,76,144,62,54,111,,,,,,,,,,,,,,,,,13856,25,31,6,0,21,9,20,13856,25.000,8.000,13.333,10.250,25.000,25.000,28.500,13856,2,9,5,73,5,1,26
25740,,,,,56,270,433,,,,,,,,,,,,,,,,,25740,,,,,12,23,33,25740,,,,,57.500,20.384,15.000,25740,,,,,6,35,10
22230,139,428,547,314,181,233,219,22230,,,2,,,1,,,,,,,,,,22230,13,24,29,21,19,17,22,22230,,,,23.333,,,,22230,,,,27,,,
22070,348,286,531,543,542,643,936,22070,5,8,1,3,1,3,3,22070,5,,,,2,2,1,22070,48,53,49,49,50,51,51,22070,,,0.000,25.000,13.571,16.666,27.142,22070,,,3,55,11,5,18
6102,324,362,288,310,406,209,286,6102,,,,,2,1,1,6102,,,3,2,6,2,,6102,31,36,27,24,33,32,35,6102,25.000,25.000,30.000,20.833,15.000,22.500,18.750,6102,1,1,8,9,8,5,5
23441,66,162,324,234,113,203,233,,,,,,,,,,,,,,,,,23441,32,23,32,17,22,33,41,23441,12.500,20.000,21.666,30.625,,,29.333,23441,3,2,11,68,,,64
18218,553,484,285,568,519,761,387,18218,2,1,,1,,1,,,,,,,,,,18218,33,30,29,27,24,25,20,18218,0.000,0.000,,27.500,18.000,28.571,2.000,18218,2,3,,119,11,18,18
14704,84,89,81,77,34,44,134,14704,,,1,1,,,,14704,,,1,,,,,14704,16,12,25,20,14,28,24,14704,,37.500,21.666,32.000,,,30.357,14704,,27,3,6,,,56
12926,367,360,283,274,410,334,312,12926,3,1,2,5,3,1,,,,,,,,,,12926,26,18,31,18,25,27,24,12926,25.000,12.500,,27.083,25.000,40.000,30.416,12926,5,6,,75,2,2,40
25618,,,,,47,163,133,,,,,,,,,,,,,,,,,25618,,,,,4,14,18,25618,,,,,16.250,13.736,10.000,25618,,,,,5,29,2
6639,166,244,175,109,206,204,348,,,,,,,,,,,,,,,,,6639,11,23,28,15,22,19,30,6639,25.000,,,30.000,25.000,,25.000,6639,2,,,2,4,,61
5996,51,61,73,69,138,101,188,5996,1,,,,,,,5996,1,3,,,,,,5996,11,4,9,13,18,14,14,5996,25.000,16.250,15.000,29.000,,25.000,18.125,5996,1,20,1,16,,2,11
8590,90,67,43,87,120,91,180,,,,,,,,,,,,,,,,,8590,19,19,10,19,22,20,22,8590,,,,30.000,,,,8590,,,,1,,,
14482,426,364,256,305,416,300,242,,,,,,,,,,,,,,,,,14482,30,25,22,25,26,19,21,14482,,25.000,29.000,20.000,25.000,25.000,15.833,14482,,1,38,14,3,3,21
18866,163,148,156,251,123,150,127,18866,2,,2,3,1,1,,,,,,,,,,18866,29,22,20,27,21,23,17,18866,0.000,12.500,,50.000,,,24.210,18866,1,10,,63,,,59
8151,209,244,394,493,178,224,614,,,,,,,,,8151,,,,1,,1,,8151,32,34,35,27,17,32,33,8151,,,16.000,26.666,,40.000,22.307,8151,,,11,21,,2,61
19273,224,286,267,443,251,217,217,19273,1,,1,,,,,,,,,,,,,19273,23,27,23,30,26,25,27,19273,,,,36.250,17.500,23.750,16.250,19273,,,,102,11,6,18
16373,43,71,23,216,155,110,185,,,,,,,,,,,,,,,,,16373,17,23,7,24,33,22,28,16373,,,,45.000,,,26.666,16373,,,,122,,,56
25055,,,,46,411,190,249,,,,,,,,,,,,,,,,,25055,,,,2,21,2,21,25055,,,,15.000,,,18.157,25055,,,,2,,,44
24510,,,157,127,145,137,187,,,,,,,,,,,,,,,,,24510,,,13,5,16,11,11,24510,,,10.000,33.333,25.000,27.500,22.142,24510,,,10,13,2,6,44
23326,140,172,103,270,125,146,220,,,,,,,,,23326,,1,,,,,,23326,19,18,20,17,10,17,25,23326,,,,17.142,,20.000,21.666,23326,,,,28,,27,40
21398,185,221,95,199,256,187,193,21398,,1,,,,,1,,,,,,,,,21398,35,37,17,29,34,28,30,21398,,25.000,,26.666,,0.000,26.153,21398,,2,,43,,1,19
22033,690,801,819,657,683,389,244,22033,3,1,,1,1,,,,,,,,,,,22033,38,43,46,35,33,26,26,22033,0.000,17.777,25.000,12.000,21.666,17.500,16.666,22033,4,46,2,7,25,9,7
17963,284,132,134,68,43,66,65,,,,,,,,,17963,,,,,,4,,17963,26,20,21,15,8,23,18,17963,18.000,8.333,26.666,30.000,25.000,15.000,25.000,17963,1,19,7,2,3,3,13
24254,,,187,67,138,163,240,24254,,,1,,3,,1,,,,,,,,,24254,,0,21,15,18,25,20,24254,,,17.500,,,,28.000,24254,,,43,,,,71
21145,379,223,324,240,294,420,277,,,,,,,,,,,,,,,,,21145,31,27,23,18,22,27,31,21145,,25.000,28.571,10.000,26.000,20.000,23.000,21145,,2,51,11,11,18,25
11622,240,110,89,163,125,64,179,11622,1,,,2,1,,,11622,1,1,,,,2,,11622,12,10,13,7,4,3,10,11622,,,,44.166,,,27.500,11622,,,,22,,,62
20223,1140,840,649,789,612,682,497,20223,4,1,,1,2,,2,,,,,,,,,20223,28,38,32,27,26,35,20,20223,,,,36.428,,,23.611,20223,,,,47,,,58
21901,397,244,197,475,269,317,362,,,,,,,,,,,,,,,,,21901,23,9,9,26,11,26,23,21901,6.250,,,20.000,,30.000,13.888,21901,8,,,24,,2,21
15972,803,1142,441,580,496,1358,1265,15972,,,,1,,,,15972,,,,1,1,,5,15972,37,48,35,37,35,48,45,15972,,,25.000,32.000,,15.000,21.363,15972,,,3,29,,4,18
10172,319,229,100,6,203,236,191,,,,,,,,,10172,,,,,,2,,10172,14,19,0,0,4,20,28,10172,25.000,25.000,25.000,,21.428,30.833,14.166,10172,1,1,77,,16,12,33
23766,66,,,,,,,,,,,,,,,,,,,,,,,23766,5,,0,,,,,23766,22.000,,,,,,,23766,3,,,,,,
20202,120,106,109,487,178,213,218,,,,,,,,,20202,,,,2,,,,20202,24,27,31,32,22,41,35,20202,25.000,,,30.769,25.000,,29.615,20202,1,,,88,5,,40
6807,114,72,92,103,254,157,342,6807,,,,,1,,,6807,,,1,,,,,6807,10,11,9,18,25,16,23,6807,12.500,,,,,,25.294,6807,3,,,,,,42
6275,109,161,144,307,181,118,237,,,,,,,,,,,,,,,,,6275,19,20,19,27,23,22,25,6275,,,,16.500,,,24.473,6275,,,,21,,,54
6989,444,486,423,313,418,592,609,6989,2,1,,1,3,,1,6989,3,,,1,5,3,,6989,45,39,40,38,42,40,43,6989,19.000,29.000,19.444,40.000,23.000,29.285,10.000,6989,1,82,124,8,6,14,1
12282,17,20,5,15,119,14,12,,,,,,,,,,,,,,,,,12282,15,14,12,11,23,8,16,12282,,,,,26.153,,20.000,12282,,,,,72,,5
5708,,,18,102,58,48,42,,,,,,,,,,,,,,,,,5708,0,,3,23,15,20,23,5708,,,200.000,30.000,150.000,36.666,,5708,,,1,3,1,3,
22437,282,102,9,,27,208,322,22437,,,,,,,1,,,,,,,,,22437,23,20,0,0,13,26,30,22437,25.000,,,,,,24.500,22437,2,,,,,,64
18687,216,91,4,79,248,33,24,,,,,,,,,,,,,,,,,18687,27,18,11,17,28,8,16,18687,4.166,33.125,,16.666,32.500,,,18687,14,23,,11,4,,
7499,341,159,461,285,273,484,423,7499,,,1,,,1,,,,,,,,,,7499,31,27,42,30,31,35,36,7499,25.000,32.500,13.333,22.500,12.500,30.000,19.166,7499,2,24,3,38,3,3,14
20730,67,61,59,7,,,59,20730,5,2,,,,,,,,,,,,,,20730,19,21,10,11,0,0,30,20730,,30.000,18.571,,,,10.000,20730,,5,17,,,,1
21964,327,312,296,273,226,275,206,21964,,,1,,,,,21964,,1,3,,,,,21964,22,23,20,16,20,21,15,21964,6.250,25.000,15.000,23.750,,,18.181,21964,6,2,1,10,,,28
12597,64,19,3,7,67,76,118,,,,,,,,,,,,,,,,,12597,26,5,0,1,11,12,26,12597,25.000,,,0.000,22.500,16.250,14.000,12597,2,,,1,14,14,10
25760,,,,,,274,294,,,,,,,,,,,,,,,,,25760,,,,,7,40,47,25760,,,,,,,17.222,25760,,,,,,,57
22496,70,69,63,172,356,134,218,22496,1,,,,3,,,,,,,,,,,22496,18,10,13,14,24,13,13,22496,19.000,10.000,20.000,10.000,12.500,20.000,22.272,22496,4,10,6,32,7,1,37
11881,31,38,30,114,12,13,5,,,,,,,,,,,,,,,,,11881,31,35,39,29,25,33,25,11881,,20.000,,30.000,,20.000,11.250,11881,,3,,85,,17,5
17760,180,303,179,141,288,445,476,17760,,,,,3,,,17760,,,,,1,,,17760,10,21,7,17,20,22,22,17760,,,,0.000,,,20.200,17760,,,,3,,,50
11087,172,173,198,364,184,118,170,11087,,1,,,,,,,,,,,,,,11087,11,37,31,30,20,19,22,11087,,13.333,,20.000,,,15.000,11087,,12,,58,,,3
20111,133,94,95,86,53,,,,,,,,,,,,,,,,,,,20111,30,22,26,10,18,0,0,20111,,25.000,15.000,36.250,,,,20111,,2,1,4,,,
24461,,32,220,109,201,157,156,24461,,,,,1,1,,,,,,,,,,24461,,8,21,19,27,30,23,24461,,,9.166,34.000,10.500,,12.857,24461,,,10,19,14,,13
17591,148,79,134,168,94,183,62,,,,,,,,,,,,,,,,,17591,20,21,21,19,13,19,15,17591,,,18.000,27.636,23.750,32.222,15.000,17591,,,9,60,11,15,2
23092,800,701,421,647,640,771,657,,,,,,,,,,,,,,,,,23092,18,23,25,24,27,31,27,23092,6.250,,,15.714,,,31.250,23092,5,,,16,,,77
12747,86,67,44,78,103,29,116,,,,,,,,,,,,,,,,,12747,24,24,26,21,32,14,26,12747,,,,23.333,0.000,,15.000,12747,,,,6,7,,19
22075,363,346,365,333,258,271,266,22075,,,,,,,1,22075,,,,,,,1,22075,30,32,27,21,38,45,30,22075,,,,55.000,,30.000,30.769,22075,,,,13,,2,23
21879,51,93,74,83,,,,,,,,,,,,,,,,,,,,21879,12,17,16,13,1,0,0,21879,25.000,32.142,,13.750,,,,21879,3,13,,11,,,
17887,515,279,545,357,813,759,798,,,,,,,,,,,,,,,,,17887,23,17,20,8,21,24,30,17887,,0.000,200.000,50.000,150.000,,,17887,,1,1,2,2,,
20771,722,663,1024,767,559,649,455,20771,,1,1,1,,3,1,,,,,,,,,20771,30,31,42,32,25,36,24,20771,25.000,35.000,20.000,22.500,23.000,21.250,16.666,20771,2,7,6,5,5,6,4
18278,250,341,374,352,166,292,276,,,,,,,,,,,,,,,,,18278,39,39,44,45,36,42,23,18278,,0.000,0.000,33.000,,29.166,21.250,18278,,4,3,46,,31,13
22885,287,230,274,331,904,324,284,22885,,,,,3,,,,,,,,,,,22885,18,16,17,19,22,15,22,22885,,20.000,,23.333,30.769,,28.461,22885,,2,,3,61,,30
22035,107,102,138,171,74,90,163,,,,,,,,,,,,,,,,,22035,11,12,17,16,18,15,19,22035,,,,40.000,,,22.222,22035,,,,44,,,18
23910,322,325,300,309,372,346,538,23910,1,,2,,3,3,1,23910,,,,,1,3,1,23910,20,31,32,23,26,22,35,23910,25.000,21.666,28.750,0.000,22.500,22.000,22.857,23910,4,8,10,1,15,28,14
25098,,,15,318,416,370,173,25098,,,,1,1,1,,25098,,,,,,2,,25098,,,0,10,12,15,14,25098,,,0.000,14.285,23.461,30.000,,25098,,,1,21,45,3,
12212,55,30,48,93,35,14,98,,,,,,,,,,,,,,,,,12212,21,24,15,28,24,10,26,12212,8.333,,,20.000,,,18.500,12212,6,,,31,,,45
13697,560,640,628,393,582,617,689,13697,,,,,,,1,13697,,,,,,,1,13697,30,28,35,25,34,29,34,13697,9.750,37.500,7.000,16.125,6.250,,27.500,13697,5,9,3,9,4,,21
11330,183,168,147,99,175,309,248,,,,,,,,,,,,,,,,,11330,16,14,10,8,13,14,15,11330,12.000,16.250,18.333,,20.000,7.500,16.666,11330,1,5,6,,4,14,18
12032,320,456,346,291,332,284,373,12032,1,,,7,,,,12032,,,,2,,,,12032,31,32,31,36,34,31,42,12032,19.000,18.000,7.500,26.666,,21.666,18.125,12032,1,47,5,12,,6,16
21314,64,54,71,184,78,90,99,,,,,,,,,,,,,,,,,21314,20,26,27,24,21,26,32,21314,,,,27.500,28.750,30.625,25.000,21314,,,,48,10,23,33
