userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4
6204,157,208,286,207,,,,,,6204,7,,2,,6204,31,26,31,17,6204,22.500,27.142,4.000,13.750,6204,8,18,20,19
23113,147,171,58,80,,,,,,,,,,,23113,9,14,5,11,23113,32.500,20.000,,25.000,23113,5,3,,8
16636,204,356,610,280,16636,,1,,,,,,,,16636,11,27,20,12,16636,,,21.666,,16636,,,30,
20776,163,80,117,59,,,,,,,,,,,20776,23,12,16,15,20776,,22.500,33.750,15.000,20776,,9,25,2
10355,50,23,17,,,,,,,,,,,,10355,17,15,17,0,10355,16.250,,,,10355,5,,,
6948,527,439,936,361,,,,,,,,,,,6948,25,18,32,20,6948,,30.000,15.000,,6948,,1,36,
25713,,388,541,1114,,,,,,,,,,,25713,0,14,3,14,25713,,0.000,24.615,25.000,25713,,3,25,12
6372,55,63,79,111,,,,,,,,,,,6372,3,11,8,6,6372,,18.000,,3.857,6372,,7,,11
21484,327,315,645,344,,,,,,,,,,,21484,28,26,34,30,21484,21.666,0.000,28.000,5.000,21484,4,2,9,3
7871,199,128,168,104,7871,2,,1,,7871,,,1,,7871,23,23,30,21,7871,25.000,33.000,16.666,2.500,7871,15,9,5,4
6440,232,295,462,362,,,,,,,,,,,6440,24,32,36,29,6440,25.833,,28.333,20.000,6440,15,,21,14
11935,335,393,306,165,,,,,,,,,,,11935,27,31,27,19,11935,25.000,22.000,28.000,,11935,2,12,8,
25238,222,216,327,241,25238,,3,1,,25238,,,1,,25238,12,19,16,21,25238,0.000,,,,25238,2,,,
25084,199,221,232,193,,,,,,,,,,,25084,23,22,24,23,25084,0.000,,,,25084,2,,,
18442,298,505,428,482,18442,,,1,,,,,,,18442,27,36,32,36,18442,25.000,30.000,22.500,,18442,5,3,15,
27121,,,,18,,,,,,,,,,,27121,,,,0,27121,,,,0.000,27121,,,,6
17677,18,,41,8,,,,,,,,,,,17677,12,8,18,8,17677,,,3.125,,17677,,,13,
19534,243,288,545,416,19534,,,1,,19534,,,2,,19534,33,36,40,37,19534,28.750,21.250,32.500,20.000,19534,5,21,10,5
22982,100,137,448,174,22982,,,1,1,,,,,,22982,19,17,33,17,22982,,,18.125,,22982,,,19,
21013,1096,1284,1598,1577,,,,,,,,,,,21013,20,30,21,34,21013,22.500,32.500,0.000,17.000,21013,11,8,1,17
15589,140,167,237,181,,,,,,,,,,,15589,21,15,12,14,15589,,25.000,18.333,32.000,15589,,3,51,7
23457,1026,667,1107,1146,23457,7,1,,3,23457,1,,,4,23457,21,18,22,24,23457,21.666,20.909,1.250,,23457,6,24,10,
7036,219,228,356,201,,,,,,,,,,,7036,19,31,24,20,7036,22.857,10.000,18.750,,7036,13,10,8,
16839,160,144,99,75,,,,,,,,,,,16839,20,19,23,23,16839,25.000,,,,16839,7,,,
17447,918,1022,800,592,,,,,,,,,,,17447,25,27,29,20,17447,40.000,32.500,10.000,,17447,8,6,1,
9979,166,125,113,38,,,,,,,,,,,9979,33,36,26,16,9979,10.000,40.000,19.090,10.000,9979,3,2,20,1
21421,203,148,179,222,21421,2,,,,,,,,,21421,33,20,31,33,21421,17.500,40.000,22.222,30.000,21421,2,1,17,1
24730,215,89,109,76,,,,,,,,,,,24730,29,23,23,16,24730,4.166,,26.000,,24730,6,,20,
7842,176,169,117,92,7842,1,,,,7842,1,,,,7842,26,20,20,11,7842,0.000,25.000,,,7842,1,5,,
18490,184,171,193,116,,,,,,,,,,,18490,19,16,17,15,18490,25.000,,,5.000,18490,1,,,2
22701,27,31,11,5,,,,,,,,,,,22701,27,31,36,38,22701,17.500,30.454,,10.000,22701,10,34,,3
26559,,,,58,,,,,,,,,,,26559,,,0,4,26559,,,,25.000,26559,,,,8
26660,,,,281,,,,,,,,,,,26660,,,,13,26660,,,,20.000,26660,,,,71
25926,9,135,132,84,,,,,,,,,,,25926,0,9,5,3,25926,,27.500,20.000,5.000,25926,,10,1,4
22419,619,1125,618,810,22419,,1,,,,,,,,22419,23,33,26,33,22419,,27.500,,11.000,22419,,17,,7
24828,428,126,294,184,24828,1,,,,,,,,,24828,29,20,33,27,24828,28.000,25.000,25.000,32.000,24828,5,5,4,13
26392,,,27,75,,,,,,,,,,,26392,,0,0,8,26392,,,0.000,9.500,26392,,,2,16
23363,345,146,215,494,23363,,,,1,,,,,,23363,14,7,17,22,23363,,,5.000,21.818,23363,,,2,21
8311,223,172,166,123,8311,,1,3,,8311,1,1,,,8311,39,34,37,24,8311,25.000,21.666,13.333,0.000,8311,5,9,5,16
21348,74,70,85,81,,,,,,,,,,,21348,18,7,16,18,21348,25.000,22.500,10.000,20.000,21348,3,5,3,5
24896,432,285,491,157,24896,1,,,,,,,,,24896,8,11,20,6,24896,25.000,,0.000,,24896,3,,1,
24887,91,75,21,7,,,,,,,,,,,24887,17,22,12,6,24887,17.000,25.000,,12.500,24887,20,3,,17
23503,420,542,424,308,,,,,,,,,,,23503,11,17,14,9,23503,87.500,40.000,10.000,27.500,23503,3,1,1,3
19806,364,316,234,364,19806,1,2,,,,,,,,19806,20,25,15,24,19806,,,,0.000,19806,,,,1
13170,53,59,128,29,13170,,,2,,13170,,,2,,13170,31,37,34,34,13170,,,27.333,17.500,13170,,,28,7
19997,180,117,122,316,,,,,,19997,,,,1,19997,25,15,25,31,19997,27.857,22.000,25.000,11.666,19997,11,5,14,22
20086,137,94,113,161,,,,,,,,,,,20086,28,20,20,26,20086,28.750,28.300,10.000,26.666,20086,7,35,3,39
20692,56,84,126,89,,,,,,,,,,,20692,9,12,20,18,20692,16.666,,22.916,10.000,20692,6,,30,1
16001,46,146,204,210,,,,,,,,,,,16001,10,19,18,26,16001,,,21.428,,16001,,,15,
10097,377,500,446,329,,,,,,,,,,,10097,15,25,26,21,10097,25.000,,,20.000,10097,1,,,2
13573,81,165,165,129,,,,,,,,,,,13573,17,26,22,25,13573,,,22.941,18.333,13573,,,21,12
11559,130,199,210,184,,,,,,,,,,,11559,17,25,23,19,11559,28.750,30.625,10.000,31.666,11559,6,19,2,27
16908,205,175,284,186,16908,,,,1,,,,,,16908,21,22,28,26,16908,25.000,,29.285,,16908,2,,45,
19607,443,415,447,678,,,,,,,,,,,19607,30,22,30,27,19607,,17.812,22.500,35.000,19607,,32,4,17
19447,116,3,3,60,19447,4,,,,,,,,,19447,28,21,34,47,19447,17.857,,,10.000,19447,14,,,2
23215,110,173,69,32,23215,1,,,,,,,,,23215,28,37,18,20,23215,,20.000,21.666,,23215,,2,11,
24318,66,167,21,,,,,,,,,,,,24318,7,13,2,0,24318,23.750,,,,24318,7,,,
26268,,32,83,20,26268,,,1,,,,,,,26268,,14,30,17,26268,,,17.500,,26268,,,7,
17605,267,301,435,266,17605,,,1,,,,,,,17605,39,39,38,43,17605,,,33.214,,17605,,,16,
26782,,,,52,,,,,,,,,,,26782,,,0,4,26782,,,,10.000,26782,,,,1
24760,272,1057,978,148,,,,,,24760,,2,,,24760,8,25,24,7,24760,,0.000,17.000,14.000,24760,,4,27,18
23502,81,100,29,69,,,,,,,,,,,23502,11,9,7,12,23502,18.333,17.000,10.000,21.250,23502,13,22,1,36
12648,306,281,378,270,,,,,,,,,,,12648,16,12,15,15,12648,,,10.000,0.000,12648,,,1,1
26001,,1,507,387,26001,,,1,,,,,,,26001,0,19,21,23,26001,,,,15.000,26001,,,,3
22073,106,103,79,118,,,,,,,,,,,22073,16,15,14,18,22073,25.000,,20.000,20.000,22073,7,,5,2
26236,,3,18,102,,,,,,,,,,,26236,,2,18,19,26236,,,,17.500,26236,,,,15
12240,171,111,220,82,12240,,1,,,,,,,,12240,8,10,20,12,12240,,18.750,25.312,,12240,,7,39,
23932,140,114,326,407,,,,,,,,,,,23932,30,25,24,30,23932,,,17.777,0.000,23932,,,37,2
21646,89,197,105,269,21646,,2,1,,,,,,,21646,8,19,8,24,21646,,,25.000,,21646,,,1,
26181,,26,68,65,,,,,,,,,,,26181,,9,15,21,26181,,22.500,,,26181,,5,,
24084,130,49,,,,,,,,,,,,,24084,20,6,0,0,24084,,26.666,,,24084,,6,,
20658,48,39,37,54,,,,,,,,,,,20658,19,19,26,20,20658,,,20.000,,20658,,,6,
9175,258,279,303,135,,,,,,,,,,,9175,28,29,27,23,9175,,25.000,30.000,15.000,9175,,8,15,2
25334,30,34,50,26,25334,1,,,,,,,,,25334,17,20,21,18,25334,25.000,,27.307,15.000,25334,7,,101,5
24186,306,659,647,739,24186,,1,,,24186,1,,,,24186,18,23,25,25,24186,12.500,19.000,25.769,0.000,24186,3,10,49,1
25268,19,76,151,89,25268,,,1,,,,,,,25268,9,17,8,10,25268,,,22.333,,25268,,,33,
23095,485,234,446,214,23095,,,1,,,,,,,23095,30,35,36,26,23095,18.181,,17.500,17.500,23095,24,,8,4
14461,598,144,458,234,,,,,,,,,,,14461,33,18,31,19,14461,23.750,,21.500,,14461,7,,20,
25290,388,568,192,83,,,,,,,,,,,25290,19,28,9,16,25290,25.000,25.937,,,25290,2,62,,
13940,53,59,48,79,,,,,,13940,,2,,,13940,15,17,20,23,13940,,30.000,10.000,,13940,,2,2,
24993,574,90,64,48,,,,,,,,,,,24993,8,0,0,0,24993,29.375,,3.333,,24993,26,,7,
25394,85,88,206,141,,,,,,25394,,,,1,25394,21,22,15,22,25394,25.000,,21.666,15.000,25394,5,,31,2
19331,50,102,71,,,,,,,,,,,,19331,7,10,7,0,19331,,25.000,,,19331,,3,,
23769,769,242,398,199,,,,,,,,,,,23769,35,23,33,24,23769,19.166,,28.500,20.000,23769,6,,43,6
24653,183,582,561,320,,,,,,,,,,,24653,24,33,34,29,24653,,25.833,26.923,12.500,24653,,13,74,13
22589,111,112,202,52,22589,1,1,2,,22589,,,1,,22589,17,15,25,20,22589,,0.000,,,22589,,1,,
20398,73,237,420,97,,,,,,,,,,,20398,34,23,33,14,20398,,,28.333,,20398,,,68,
9287,219,257,235,171,,,,,,,,,,,9287,41,39,41,35,9287,28.750,29.285,28.000,27.500,9287,5,7,16,5
11727,420,300,691,275,,,,,,,,,,,11727,23,12,26,13,11727,19.166,22.500,22.500,13.333,11727,9,5,19,15
8016,99,88,236,332,,,,,,,,,,,8016,22,21,31,32,8016,,25.000,23.333,25.000,8016,,1,18,3
5995,312,157,165,186,,,,,,5995,1,,,,5995,30,20,21,25,5995,12.500,20.000,7.500,0.000,5995,4,3,7,1
8139,346,211,525,424,8139,,,2,1,8139,5,,1,,8139,30,13,39,27,8139,,,27.352,13.333,8139,,,35,14
24296,274,687,715,263,,,,,,,,,,,24296,19,25,26,17,24296,,,21.363,,24296,,,26,
19808,129,118,235,128,19808,2,,,,,,,,,19808,26,17,28,29,19808,25.000,15.000,30.625,10.000,19808,1,3,35,1
25393,87,65,309,106,25393,,3,1,1,25393,,5,,6,25393,22,21,31,19,25393,,,12.619,,25393,,,45,
9410,112,78,189,120,9410,1,,,,,,,,,9410,26,22,24,27,9410,,,26.250,30.000,9410,,,44,3
6255,139,126,147,135,,,,,,,,,,,6255,28,12,22,22,6255,25.000,32.500,5.000,,6255,2,4,4,
5932,120,142,289,116,,,,,,,,,,,5932,30,29,40,31,5932,23.000,34.000,30.000,12.500,5932,6,7,2,3
23830,49,145,282,144,,,,,,,,,,,23830,0,2,16,7,23830,,25.000,17.727,,23830,,6,49,
19479,365,196,638,211,,,,,,19479,1,,,,19479,30,27,38,24,19479,10.000,,22.500,,19479,1,,29,
24527,299,32,,,,,,,,,,,,,24527,26,0,0,,24527,18.000,,,,24527,6,,,
26108,,,34,60,,,,,,,,,,,26108,,0,21,24,26108,,,11.666,18.750,26108,,,34,8
26279,,115,165,48,,,,,,,,,,,26279,,3,18,12,26279,,9.166,16.250,30.000,26279,,29,14,3
6325,322,312,358,388,6325,,,,1,,,,,,6325,26,25,22,35,6325,25.000,23.333,20.000,24.166,6325,2,6,29,11
11561,113,92,90,187,,,,,,,,,,,11561,22,27,24,36,11561,,,22.500,0.000,11561,,,41,1
20598,242,139,174,83,20598,,,4,,,,,,,20598,17,12,11,12,20598,28.125,,20.000,,20598,25,,8,
21985,183,171,172,277,,,,,,,,,,,21985,17,21,15,12,21985,25.000,30.000,22.615,16.111,21985,2,4,32,44
23134,214,229,165,105,,,,,,,,,,,23134,27,25,27,14,23134,,25.000,16.333,,23134,,5,33,
18802,272,233,271,251,,,,,,,,,,,18802,19,19,21,14,18802,19.000,,23.333,31.071,18802,8,,14,105
13637,409,462,795,1039,13637,,,1,,13637,,,2,,13637,24,29,31,23,13637,13.333,20.000,22.142,8.333,13637,10,2,48,20
24489,189,334,133,97,,,,,,,,,,,24489,22,23,21,22,24489,,0.000,,,24489,,10,,
23527,330,391,433,279,,,,,,23527,,3,,,23527,22,25,26,26,23527,13.333,,32.222,,23527,8,,40,
6343,70,43,30,30,,,,,,,,,,,6343,12,10,5,6,6343,,25.000,40.000,,6343,,1,7,
9630,87,95,60,96,,,,,,,,,,,9630,20,20,20,23,9630,,40.000,10.000,28.333,9630,,6,1,4
25633,,209,145,113,25633,,,2,1,,,,,,25633,0,10,9,5,25633,,,40.000,,25633,,,40,
26028,,43,315,292,,,,,,,,,,,26028,0,6,15,20,26028,,40.000,,10.000,26028,,22,,1
21474,238,220,368,185,,,,,,,,,,,21474,34,27,34,28,21474,20.000,32.500,15.000,,21474,7,26,3,
20090,243,174,216,142,,,,,,,,,,,20090,23,27,25,17,20090,25.000,,,,20090,4,,,
18825,72,47,35,40,18825,1,,,,,,,,,18825,42,40,38,40,18825,,33.571,15.000,,18825,,14,20,
25340,262,265,323,325,,,,,,,,,,,25340,13,11,14,17,25340,91.666,,15.000,0.000,25340,5,,7,1
25719,,77,166,448,25719,,,1,4,,,,,,25719,0,23,28,49,25719,,4.545,,20.294,25719,,15,,27
10296,146,120,116,193,,,,,,,,,,,10296,11,20,7,24,10296,,,24.705,,10296,,,55,
26064,,,95,75,,,,,,,,,,,26064,,0,4,10,26064,,,15.000,10.000,26064,,,7,1
16436,71,76,179,74,16436,3,,1,,,,,,,16436,23,22,30,34,16436,,,26.111,,16436,,,43,
23448,195,127,277,110,,,,,,,,,,,23448,12,28,26,17,23448,,,17.352,,23448,,,72,
21892,379,149,645,501,21892,3,1,4,1,21892,6,1,6,12,21892,41,26,43,45,21892,,,17.500,17.500,21892,,,52,15
22741,147,60,185,103,,,,,,,,,,,22741,11,25,18,13,22741,,,18.809,,22741,,,73,
23736,321,183,261,393,,,,,,,,,,,23736,21,7,17,23,23736,,,20.000,,23736,,,26,
24371,175,285,191,178,,,,,,,,,,,24371,18,24,25,20,24371,25.000,22.142,,21.666,24371,1,23,,5
11228,268,87,148,369,,,,,,,,,,,11228,23,11,20,25,11228,21.428,0.000,17.500,12.500,11228,10,1,11,14
25383,49,38,35,4,,,,,,,,,,,25383,11,9,10,0,25383,25.000,,,,25383,1,,,
7931,37,34,2,17,7931,,,1,,,,,,,7931,8,12,12,11,7931,25.000,,,,7931,6,,,
6258,54,32,93,89,,,,,,,,,,,6258,35,33,36,42,6258,,,40.000,,6258,,,74,
21676,52,18,48,18,,,,,,,,,,,21676,11,7,11,5,21676,24.000,,,,21676,11,,,
26203,,69,763,33,26203,,,1,,,,,,,26203,,10,26,9,26203,,25.000,15.555,,26203,,28,25,
20250,326,999,384,229,20250,2,,,1,20250,1,,,,20250,17,24,12,18,20250,,19.500,,,20250,,12,,
21861,424,292,450,262,,,,,,,,,,,21861,32,25,22,22,21861,20.000,25.000,17.500,,21861,4,4,6,
22956,259,408,504,226,22956,,,3,,,,,,,22956,19,32,39,24,22956,,23.571,18.000,30.000,22956,,10,14,2
21733,70,79,113,66,,,,,,21733,1,,,,21733,7,18,25,19,21733,25.000,30.000,,30.000,21733,3,2,,1
24914,20,71,161,308,,,,,,,,,,,24914,13,20,10,16,24914,,11.250,19.166,0.000,24914,,8,78,1
12977,367,366,445,308,12977,,1,,,,,,,,12977,17,20,25,15,12977,25.000,40.000,23.888,10.000,12977,4,1,17,2
5903,237,188,181,66,5903,,,1,,5903,7,10,3,4,5903,21,25,23,10,5903,30.000,,,,5903,7,,,
24063,159,184,409,229,,,,,,,,,,,24063,21,23,33,26,24063,,,30.000,30.000,24063,,,38,4
21229,358,411,386,370,21229,,1,,,,,,,,21229,38,37,40,32,21229,,,25.714,24.285,21229,,,41,34
26224,,,233,504,,,,,,,,,,,26224,,0,2,19,26224,,,18.750,22.500,26224,,,17,4
18925,259,138,268,82,18925,1,,,,,,,,,18925,37,30,29,23,18925,,,23.928,,18925,,,51,
9231,65,64,81,27,9231,1,,,,,,,,,9231,22,21,24,19,9231,,30.000,30.000,,9231,,2,19,
8627,98,231,331,236,,,,,,,,,,,8627,27,30,29,30,8627,,30.000,20.714,,8627,,2,39,
6033,170,156,235,97,6033,,,1,,,,,,,6033,18,16,12,16,6033,,,20.666,,6033,,,42,
6717,227,191,264,233,,,,,,,,,,,6717,7,13,26,19,6717,0.000,,0.000,,6717,2,,1,
21815,69,74,110,188,,,,,,,,,,,21815,15,18,34,31,21815,11.000,15.142,15.000,20.000,21815,8,11,3,13
23624,127,53,67,57,23624,,,,1,,,,,,23624,26,25,24,14,23624,37.000,35.000,25.625,27.500,23624,9,7,30,13
19341,31,37,122,104,,,,,,,,,,,19341,7,16,29,21,19341,,,19.318,,19341,,,54,
25400,134,282,388,193,25400,,,1,1,,,,,,25400,20,26,29,25,25400,,,18.750,,25400,,,18,
22683,65,44,111,73,,,,,,,,,,,22683,8,8,17,16,22683,,,15.000,26.666,22683,,,3,7
23803,183,175,236,112,,,,,,,,,,,23803,25,24,25,23,23803,,,30.294,,23803,,,61,
25195,168,186,312,224,,,,,,,,,,,25195,20,12,24,22,25195,,15.000,,,25195,,4,,
15760,145,246,120,95,,,,,,,,,,,15760,29,28,24,26,15760,,27.214,,10.000,15760,,40,,1
23283,158,108,436,439,23283,,1,,,,,,,,23283,33,36,42,41,23283,25.000,,22.000,0.000,23283,3,,39,5
20440,1997,1805,2986,2870,20440,2,6,5,3,20440,1,,1,3,20440,35,33,37,45,20440,25.000,22.500,37.272,12.500,20440,2,11,40,6
19098,252,25,,,,,,,,,,,,,19098,19,1,0,0,19098,10.333,,,,19098,34,,,
21683,352,192,418,332,,,,,,21683,2,,,,21683,12,11,11,16,21683,21.666,,21.388,,21683,6,,88,
23164,64,8,,,,,,,,,,,,,23164,10,3,0,0,23164,32.500,,,,23164,3,,,
22296,84,100,161,20,22296,,,1,1,,,,,,22296,19,22,22,10,22296,,25.000,30.769,0.000,22296,,9,59,4
25294,196,255,431,252,,,,,,,,,,,25294,15,20,30,23,25294,25.000,40.000,21.923,,25294,2,3,75,
23293,54,26,59,19,,,,,,,,,,,23293,13,13,10,13,23293,21.428,,30.000,,23293,19,,3,
21221,204,197,263,200,,,,,,,,,,,21221,25,20,25,22,21221,,40.000,,,21221,,4,,
16115,265,506,518,349,,,,,,,,,,,16115,24,33,33,30,16115,10.000,20.000,10.000,25.454,16115,10,17,1,36
24929,611,514,482,90,,,,,,,,,,,24929,14,17,20,2,24929,10.454,23.333,15.000,30.000,24929,16,9,8,2
12552,271,303,243,207,12552,,,1,,,,,,,12552,21,21,25,24,12552,25.000,15.000,22.777,,12552,1,5,22,
6839,41,91,181,68,,,,,,,,,,,6839,21,28,35,27,6839,,,20.714,,6839,,,30,
6119,69,66,197,180,6119,,,,1,,,,,,6119,31,27,26,35,6119,,,13.928,,6119,,,33,
19283,91,68,119,51,,,,,,,,,,,19283,22,26,17,20,19283,,,26.666,,19283,,,40,
19393,259,251,258,170,19393,,,1,,,,,,,19393,26,26,30,25,19393,25.000,25.000,17.000,15.000,19393,2,8,27,2
18476,106,162,354,327,,,,,,,,,,,18476,24,28,30,26,18476,,,5.666,,18476,,,15,
18749,1429,1275,1406,1285,,,,,,,,,,,18749,31,26,33,28,18749,25.000,25.000,13.750,,18749,2,4,15,
24784,117,153,126,79,24784,,,,1,,,,,,24784,24,26,26,23,24784,14.500,,,,24784,23,,,
23194,109,76,85,190,,,,,,,,,,,23194,7,13,12,14,23194,,20.000,10.000,8.750,23194,,8,1,5
22114,175,171,305,337,,,,,,,,,,,22114,42,42,41,44,22114,,,27.500,,22114,,,21,
5672,75,54,30,64,5672,1,,,,,,,,,5672,19,16,9,12,5672,66.666,0.000,12.500,22.500,5672,8,2,10,19
15347,207,122,133,84,,,,,,,,,,,15347,31,30,23,28,15347,,,27.692,12.500,15347,,,26,4
7986,169,50,,155,,,,,,,,,,,7986,16,5,0,23,7986,0.000,0.000,,5.000,7986,2,1,,2
23953,133,92,118,54,,,,,,,,,,,23953,16,20,22,13,23953,,26.666,,,23953,,5,,
18462,26,106,35,47,,,,,,,,,,,18462,16,25,21,20,18462,20.000,,,16.666,18462,8,,,10
23810,104,69,80,59,23810,,,1,,,,,,,23810,26,25,22,21,23810,,,31.785,,23810,,,14,
13867,55,9,,,,,,,,,,,,,13867,16,3,0,0,13867,26.666,25.000,,,13867,7,1,,
23413,180,135,341,138,23413,,,1,,23413,,,1,,23413,19,19,29,20,23413,28.750,25.000,25.000,7.500,23413,5,3,15,9
26002,,130,1252,746,26002,,,1,,26002,,,2,,26002,0,13,27,17,26002,,25.000,,30.000,26002,,3,,2
26252,,35,136,171,,,,,,,,,,,26252,,0,12,11,26252,,,17.500,0.000,26252,,,7,6
21946,235,350,359,311,21946,,,2,,21946,,1,2,,21946,21,21,32,18,21946,,30.000,22.500,14.285,21946,,2,5,14
26557,,,,39,,,,,,,,,,,26557,,,0,7,26557,,,,20.000,26557,,,,2
13790,104,63,172,96,,,,,,,,,,,13790,35,29,28,35,13790,,,27.500,30.000,13790,,,58,1
25895,,343,257,313,25895,,,1,,,,,,,25895,0,36,32,39,25895,,,20.000,30.000,25895,,,7,3
26503,,,120,348,,,,,,,,,,,26503,,,5,22,26503,,,20.000,17.142,26503,,,2,22
19861,77,52,104,94,,,,,,,,,,,19861,25,14,19,19,19861,25.000,,28.928,,19861,2,,21,
7668,604,972,683,1305,,,,,,,,,,,7668,21,29,20,28,7668,25.000,,20.714,20.000,7668,1,,12,5
23985,111,216,182,144,,,,,,,,,,,23985,15,20,17,18,23985,12.500,,,,23985,2,,,
5940,147,157,273,211,5940,2,,,,5940,2,5,10,4,5940,38,37,38,35,5940,,25.833,12.500,0.000,5940,,10,14,1
19729,156,79,906,218,,,,,,,,,,,19729,6,0,25,10,19729,,,13.333,,19729,,,6,
6046,299,115,171,104,,,,,,,,,,,6046,22,20,23,14,6046,28.000,29.285,28.000,28.333,6046,6,9,6,7
19765,281,206,185,147,,,,,,19765,2,,,,19765,34,34,32,4,19765,25.000,25.000,10.000,7.500,19765,2,3,1,5
15504,,,26,14,,,,,,,,,,,15504,29,30,31,24,15504,,,23.333,30.000,15504,,,7,1
26127,,84,156,52,,,,,,,,,,,26127,,1,9,4,26127,,,14.000,,26127,,,12,
25435,93,118,146,14,25435,2,,,,,,,,,25435,30,37,31,9,25435,25.000,,15.000,,25435,3,,20,
24560,146,162,107,64,,,,,,24560,,,1,,24560,26,15,22,17,24560,12.500,40.000,17.500,,24560,6,2,8,
25155,142,91,117,214,,,,,,,,,,,25155,18,16,13,18,25155,51.666,10.000,6.666,20.000,25155,7,3,6,5
16553,108,75,96,34,,,,,,,,,,,16553,22,21,19,22,16553,,25.000,,15.000,16553,,1,,4
25424,31,173,190,105,,,,,,,,,,,25424,7,20,17,5,25424,25.000,,,0.000,25424,2,,,5
17398,62,50,2,,,,,,,,,,,,17398,15,6,0,,17398,25.000,0.000,,,17398,5,1,,
25676,13,115,132,136,,,,,,,,,,,25676,0,9,14,29,25676,,25.000,,0.000,25676,,4,,1
17305,101,110,189,80,,,,,,,,,,,17305,19,29,16,13,17305,,,12.500,,17305,,,7,
22512,66,45,56,53,,,,,,,,,,,22512,18,22,17,20,22512,25.000,,,,22512,2,,,
21132,28,69,179,30,,,,,,,,,,,21132,6,6,17,4,21132,,,12.000,,21132,,,8,
13676,99,65,91,83,,,,,,,,,,,13676,14,12,12,16,13676,16.666,25.000,5.000,6.000,13676,9,6,2,9
20777,136,102,85,46,20777,,1,,,20777,,,3,,20777,21,21,24,9,20777,20.000,,5.000,,20777,5,,6,
17932,145,97,337,164,,,,,,,,,,,17932,27,18,28,19,17932,25.000,,,,17932,7,,,
21742,134,102,85,69,21742,2,,1,1,21742,1,,1,,21742,42,39,46,42,21742,,,0.000,,21742,,,1,
12229,136,66,175,74,12229,,1,,,12229,3,,,1,12229,20,10,18,14,12229,0.000,20.000,,,12229,2,2,,
23821,218,255,363,515,,,,,,,,,,,23821,21,18,28,26,23821,,,10.000,,23821,,,1,
24449,118,100,208,149,,,,,,,,,,,24449,23,20,27,21,24449,,,22.500,,24449,,,5,
17873,194,206,114,123,,,,,,,,,,,17873,37,37,28,33,17873,25.000,22.000,10.000,23.333,17873,3,18,1,9
12194,,124,2,,,,,,,,,,,,12194,0,9,0,,12194,,30.000,,,12194,,1,,
5722,151,140,271,150,5722,,1,,1,,,,,,5722,22,18,24,20,5722,83.333,40.000,,10.000,5722,4,2,,1
25304,191,359,447,895,25304,,2,,,25304,,2,1,,25304,23,28,24,31,25304,,,20.000,,25304,,,1,
9911,531,352,348,299,9911,,2,,1,,,,,,9911,31,29,28,24,9911,18.000,,10.000,,9911,9,,1,
19403,629,233,238,545,,,,,,19403,2,1,,,19403,18,10,6,17,19403,,40.000,16.428,,19403,,2,17,
24243,593,318,452,204,24243,,,1,,,,,,,24243,42,34,38,23,24243,,,0.000,,24243,,,1,
14177,308,388,366,267,,,,,,14177,2,,4,,14177,35,41,42,38,14177,21.666,22.500,15.000,,14177,4,7,3,
26568,,,,240,,,,,,,,,,,26568,,,0,8,26568,,,,3.333,26568,,,,7
20761,40,41,69,28,,,,,,,,,,,20761,23,27,28,19,20761,,,0.000,,20761,,,1,
6797,159,157,396,293,6797,,2,2,1,6797,,2,,1,6797,33,26,35,39,6797,,25.000,12.363,,6797,,6,39,
21928,57,106,246,163,,,,,,,,,,,21928,19,26,34,25,21928,,25.000,15.000,,21928,,4,5,
5691,219,209,259,107,,,,,,5691,3,1,2,,5691,35,16,33,19,5691,75.000,20.000,,,5691,2,2,,
13778,81,126,138,68,,,,,,,,,,,13778,20,19,24,18,13778,,12.500,,,13778,,3,,
12881,177,201,232,216,,,,,,,,,,,12881,27,36,35,35,12881,,40.000,10.000,0.000,12881,,1,2,2
5759,195,214,251,41,5759,,,1,,,,,,,5759,25,17,25,7,5759,150.000,100.000,,,5759,2,2,,
6684,258,244,291,222,6684,1,,,5,6684,,,,3,6684,24,25,26,28,6684,,,17.500,,6684,,,11,
24061,841,723,965,1248,,,,,,,,,,,24061,21,13,17,25,24061,21.000,,11.666,16.666,24061,5,,9,15
22963,165,470,262,114,,,,,,,,,,,22963,28,36,32,26,22963,5.000,,,,22963,1,,,
16682,13,66,57,167,,,,,,,,,,,16682,7,6,15,19,16682,,20.000,,15.000,16682,,8,,5
21627,190,85,244,236,21627,,,1,1,,,,,,21627,24,18,29,28,21627,16.666,,15.000,,21627,10,,13,
23609,12,17,25,51,,,,,,,,,,,23609,12,13,14,21,23609,,,,10.000,23609,,,,3
7300,21,31,89,176,,,,,,,,,,,7300,12,16,23,24,7300,,,,10.000,7300,,,,8
23291,160,107,145,15,,,,,,,,,,,23291,22,19,18,3,23291,28.750,21.250,34.000,16.666,23291,10,11,7,11
